1000 24
-6.051247 23.224608 0.017717
-14.170964 19.369661 0.026663
11.705718 20.951758 0.027317
17.002245 16.938822 0.017458
-15.952304 17.931090 0.033923
-12.905812 20.234624 0.019451
15.064796 18.682931 0.020123
4.870503 23.500600 0.033215
-3.502159 23.743102 0.021030
9.194419 22.168957 0.031791
18.432163 15.370601 0.025135
-22.766319 7.595703 0.020195
-6.858858 22.999045 0.045704
1.230638 23.968428 0.043646
-9.027132 22.237601 0.017667
-14.228451 19.327472 0.031213
-18.662715 15.089833 0.030635
-3.599154 23.728592 0.032059
23.736502 3.546613 0.022050
-0.986104 23.979733 0.023342
21.313556 11.033238 0.041990
-6.336366 23.148444 0.016364
-22.772417 7.577403 0.029267
13.620738 19.760453 0.014529
3.021123 23.809091 0.022369
10.062869 21.788498 0.018781
16.224350 17.685318 0.042577
20.667362 12.200825 0.015625
-23.525178 4.750367 0.033926
-22.626450 8.002736 0.027256
-17.469564 16.456437 0.026090
16.162982 17.741421 0.020979
14.909862 18.806808 0.041815
-23.968645 1.226403 0.013097
-23.690982 3.838931 0.019799
-19.029174 14.624997 0.031771
-21.021948 11.579193 0.022648
-18.822716 14.889774 0.038316
23.010620 6.819923 0.038457
23.814508 2.978121 0.028893
-17.738306 16.166401 0.016673
10.480863 21.590542 0.026813
-0.975296 23.980175 0.034542
-18.763433 14.964411 0.045871
-5.217152 23.426082 0.018321
22.965197 6.971352 0.031324
-19.238466 14.348569 0.021441
-23.195944 6.160210 0.039003
14.644521 19.014153 0.019977
14.916671 18.801407 0.026531
-8.979211 22.256994 0.029655
15.226445 18.551425 0.030628
-23.752355 3.438841 0.014113
1.183545 23.970799 0.021033
21.163178 11.319006 0.021569
5.926174 23.256837 0.029430
20.719328 12.112367 0.035714
11.827170 20.883440 0.041730
23.928278 1.854052 0.042382
5.933291 23.255022 0.019452
12.054974 20.752773 0.019560
23.681615 3.896293 0.023270
-22.867494 7.285447 0.013470
3.709148 23.711647 0.038692
-3.656145 23.719878 0.041701
20.652683 12.225657 0.034815
-14.031030 19.471266 0.037519
1.835146 23.929735 0.025674
-6.002179 23.237337 0.020974
23.749153 3.460883 0.035031
4.364998 23.599720 0.018708
13.836549 19.609944 0.013165
5.922155 23.257861 0.021625
-23.331622 5.624538 0.020450
17.738574 16.166106 0.035288
8.849247 22.308985 0.025107
-20.237239 12.901711 0.047967
12.647215 20.397254 0.013113
16.974976 16.966148 0.046894
9.035106 22.234362 0.013093
22.592176 8.098988 0.042087
21.032173 11.560610 0.043973
19.845439 13.496612 0.037003
-23.910255 2.073571 0.032876
-17.240884 16.695865 0.026379
-5.153485 23.440170 0.012841
22.290759 8.895059 0.047141
23.711810 3.708107 0.040102
-9.528251 22.027538 0.030644
-16.139795 17.762517 0.029726
23.614148 4.286258 0.021353
15.916624 17.962769 0.023216
-4.242984 23.621962 0.012533
-18.098171 15.762493 0.023940
-23.852520 2.656557 0.029481
-23.663752 4.003352 0.014391
-22.016143 9.554550 0.043572
11.503925 21.063231 0.043850
4.493640 23.575564 0.028369
18.395831 15.414066 0.041251
-7.111556 22.922168 0.044220
-20.068783 13.162217 0.038491
-7.648888 22.748506 0.014356
20.279386 12.835362 0.023002
16.679634 17.256587 0.037804
-7.760070 22.710819 0.025269
-1.504412 23.952802 0.015616
19.600985 13.849237 0.020880
21.291685 11.075385 0.016601
-8.362940 22.495805 0.042254
7.535855 22.786200 0.046824
-12.797085 20.303562 0.025590
-14.714824 18.959798 0.014210
-11.080955 21.288787 0.028031
-18.084855 15.777770 0.026755
