100 11
7.229081 8.290983 0.165965
-2.032324 10.810627 0.072945
-10.692061 2.584539 0.070927
-4.680284 9.954644 0.070981
-3.472391 10.437553 0.190618
-10.090624 4.379419 0.162617
9.349840 5.794867 0.208393
2.585634 10.691796 0.197337
-6.465151 8.899541 0.117969
-5.086082 9.753552 0.172689
10.932792 1.214109 0.135196
-6.215804 9.075450 0.059769
8.058778 7.487062 0.211705
7.774353 7.781994 0.117487
-9.894874 4.805357 0.166151
10.459281 3.406383 0.206996
1.726866 10.863606 0.055670
3.976144 10.256231 0.208837
-6.096841 9.155792 0.193510
-9.663642 5.254904 0.173916
10.239657 4.018635 0.076318
9.592244 5.384130 0.191773
8.412895 7.086833 0.166553
10.741300 2.371599 0.128199
-3.785087 10.328268 0.218239
10.822077 1.970443 0.066666
10.638768 2.795822 0.055927
-10.972022 0.784048 0.146147
-3.444629 10.446748 0.179238
-10.307669 3.840827 0.132921
10.855861 1.774902 0.183428
10.263598 3.957089 0.109216
-7.916519 7.637324 0.195125
-1.028626 10.951800 0.135918
-2.908492 10.608519 0.173047
10.896069 1.508535 0.145902
-10.989638 0.477345 0.147202
10.432033 3.488937 0.119600
-9.648077 5.283428 0.083038
-10.503093 3.268797 0.137408
4.025984 10.236770 0.128527
-10.923214 1.297457 0.118362
-0.679301 10.979005 0.205071
4.578539 10.001849 0.103777
-2.563431 10.697141 0.207340
-0.155232 10.998905 0.157741
4.358417 10.099713 0.073959
9.041324 6.265338 0.084117
-6.898997 8.567604 0.189500
-4.285023 10.131070 0.178779
-10.925670 1.276612 0.152184
-3.387666 10.465358 0.184274
-3.761809 10.336769 0.152836
-7.967678 7.583937 0.141093
7.854767 7.700820 0.083736
10.808869 2.041654 0.148846
-10.985870 0.557360 0.155540
-4.278003 10.134036 0.057520
-1.044191 10.950327 0.198897
4.214698 10.160528 0.083776
-8.167882 7.367883 0.161628
-10.492561 3.302447 0.075924
9.052934 6.248551 0.204750
10.902434 1.461825 0.056816
6.684469 8.736010 0.182840
10.778928 2.194247 0.150879
-5.410858 9.577192 0.149150
10.038320 4.498014 0.150952
-10.181017 4.164961 0.190689
8.776047 6.631817 0.077700
-3.358851 10.474642 0.135354
-5.585790 9.476231 0.153545
-4.318270 10.116944 0.124111
-8.213407 7.317100 0.065184
10.765056 2.261318 0.160762
10.362489 3.690369 0.198445
10.342173 3.746925 0.136119
7.555140 7.994990 0.201147
10.394570 3.599015 0.141334
-2.426633 10.729001 0.149840
-4.422777 10.071695 0.206251
1.991537 10.818215 0.079671
-5.517206 9.516325 0.169162
-4.518877 10.028946 0.116792
-10.886616 1.575304 0.202288
9.922293 4.748483 0.170930
9.429695 5.663996 0.142578
-8.889073 6.479536 0.203538
9.961339 4.666019 0.202396
9.724499 5.141411 0.091084
4.492244 10.040904 0.147351
8.999620 6.325096 0.095667
-9.813552 4.969327 0.082302
-5.813758 9.338106 0.151366
7.887717 7.667067 0.138633
3.392470 10.463802 0.119905
7.071640 8.425669 0.074170
10.905343 1.439966 0.177976
10.930034 1.238695 0.140124
-6.659728 8.754886 0.061418
