100 64
-12.866540 62.693318 1.013009
-23.974778 59.339785 1.157748
35.514073 53.242376 0.630355
50.941269 38.742575 1.018726
22.686768 59.844052 0.856752
-38.963955 50.772140 0.553699
-9.118770 63.347044 0.576371
-31.712086 55.590859 0.565573
-42.462253 47.884832 1.098801
50.008316 39.939559 0.489606
-63.893173 3.696278 0.807450
19.826314 60.851600 1.048194
-63.351460 9.088044 1.022135
50.206939 39.689587 0.393910
62.868646 11.980543 0.913941
45.111719 45.397497 1.112153
63.274659 9.608203 0.596557
-27.345512 57.863831 0.656763
57.702696 27.683911 0.912732
-24.607184 59.080339 0.386969
-14.579987 62.317124 1.161922
-23.482685 59.536237 0.929632
-41.225039 48.954021 0.892718
-63.024102 11.133845 0.638530
-42.124456 48.182260 0.503857
59.067756 24.637373 0.395612
55.803412 31.336547 1.233479
-60.688089 20.321316 1.073495
52.293179 36.897472 1.245642
40.821809 49.290769 1.272181
23.678787 59.458515 0.590155
38.430956 51.176769 0.933776
60.114579 21.959903 0.437719
-62.901484 11.806920 1.053303
-61.086464 19.090414 0.420765
57.035128 29.034361 0.949913
-51.582443 37.884714 0.433559
-56.039509 30.912351 0.865090
20.448018 60.645515 0.619144
43.455182 46.985606 0.973337
-51.522621 37.966031 0.866238
59.455229 23.687036 0.914019
63.736861 5.797635 0.986461
53.843039 34.596634 0.341519
-27.441325 57.818455 0.392424
-44.401076 46.092781 0.742519
-56.768222 29.552816 0.417635
-42.961185 47.437712 1.137530
-16.843199 61.743879 0.990572
-40.447448 49.598427 0.549410
62.815967 12.253744 0.356947
-51.819309 37.560075 0.811823
-47.889468 42.457024 1.025594
52.532161 36.556423 0.493280
-61.811082 16.594883 0.680222
60.077468 22.061230 0.758503
48.749102 41.467156 0.334674
35.281350 53.396875 0.396345
19.964263 60.806482 0.629651
-62.547208 13.559012 0.979890
-62.323462 14.552871 0.487494
25.403287 58.742430 0.688543
-49.106912 41.042797 0.719519
22.561413 59.891424 0.873914
-3.049087 63.927326 0.724791
27.224458 57.920885 1.204968
51.880548 37.475442 0.670748
41.123625 49.039245 0.729124
-60.085386 22.039654 0.648400
-62.294619 14.675847 0.906415
27.091892 57.983010 0.754223
19.300034 61.020560 0.645298
-59.562310 23.416474 0.448119
-60.471384 20.957379 1.279597
52.626937 36.419851 1.108805
-63.844138 4.463861 0.685327
14.151629 62.415795 0.432975
63.685299 6.338985 0.849160
52.817985 36.142226 0.472103
22.273216 59.999199 0.396490
-63.769024 5.432454 0.833521
51.643508 37.801430 0.368681
-49.590381 40.457312 0.799218
-39.263678 50.540712 1.177682
-63.816678 4.840624 0.530263
-17.259575 61.628784 0.630568
-63.254719 9.738607 1.217053
-39.954592 49.996305 1.039659
-11.605448 62.938967 0.506932
-16.275661 61.895904 0.870391
5.532641 63.760410 0.542748
-7.334891 63.578293 1.111758
-16.812573 61.752226 0.654327
-19.152900 61.066901 1.084542
50.171449 39.734439 0.445596
50.558675 39.240545 0.462589
16.842596 61.744044 1.162341
-1.124373 63.990123 0.801954
-52.316745 36.864050 0.529390
63.108812 10.643207 1.127301
