1000 87
-51.316020 70.254296 0.125723
-81.756650 29.746432 0.096210
-35.306719 79.513745 0.109398
12.902125 86.037987 0.045472
-78.089886 38.353224 0.139489
-32.281662 80.789197 0.144741
71.291100 49.865610 0.121912
-67.665196 54.684744 0.093796
78.031486 38.471901 0.131421
-28.787061 82.099361 0.169753
-72.656549 47.854215 0.130503
-79.689740 34.907668 0.155873
0.050904 86.999985 0.165865
16.490924 85.422769 0.073977
23.819498 83.675752 0.093735
-83.289178 25.137875 0.100518
46.838377 73.315526 0.077992
-49.468860 71.566975 0.069771
51.630954 70.023172 0.106257
-84.620762 20.207096 0.152459
44.362255 74.839764 0.119118
36.385577 79.025881 0.125934
-26.366817 82.908329 0.068180
52.114987 69.663679 0.110069
-77.030723 40.438443 0.109833
82.343288 28.081720 0.170973
63.311003 59.671743 0.123256
-58.926706 64.005026 0.049807
-73.046202 47.257299 0.152217
78.702987 37.078833 0.136306
-22.739203 83.975762 0.171213
-42.418641 75.958271 0.158996
55.636566 66.884770 0.068985
-77.221664 40.072617 0.058497
-25.949538 83.039879 0.165640
69.603964 52.194714 0.157182
-67.785616 54.535404 0.053226
-86.413735 10.082976 0.044682
83.135773 25.640655 0.079511
-79.886538 34.454912 0.094242
65.457187 57.309307 0.101615
68.257995 53.942990 0.072306
-44.716998 74.628347 0.125762
-72.820667 47.604101 0.107211
45.519502 74.141587 0.107843
-39.841203 77.341312 0.045314
-71.928076 48.942332 0.095568
38.092128 78.217580 0.104612
27.966680 82.382430 0.054210
-22.754057 83.971739 0.053506
14.359216 85.806835 0.117572
-61.095156 61.938534 0.132101
-11.416296 86.247714 0.065422
83.532955 24.315538 0.123697
-86.609471 8.234051 0.101236
40.075040 77.220406 0.062112
-48.170095 72.447512 0.085518
86.948217 3.001261 0.158904
78.682488 37.122313 0.082958
44.348642 74.847832 0.149678
-9.217559 86.510327 0.111635
-27.422254 82.565247 0.098281
-86.684515 7.402356 0.079177
-33.339861 80.358283 0.150828
65.636552 57.103792 0.156528
14.750697 85.740404 0.059358
23.385166 83.798174 0.172886
21.912163 84.195351 0.113710
-23.919973 83.647085 0.142733
-33.077982 80.466435 0.140694
-66.472127 56.128926 0.119923
-87.000000 0.003877 0.157384
71.496054 49.571305 0.160822
-24.355380 83.521347 0.142475
-15.473143 85.612977 0.078399
-0.720821 86.997014 0.146369
-7.466530 86.679011 0.163992
80.231195 33.644544 0.117407
85.575872 15.677058 0.057753
25.938650 83.043280 0.056127
40.170480 77.170801 0.160857
83.111269 25.719972 0.069069
22.770145 83.967377 0.094091
-74.889583 44.278102 0.119557
31.663255 81.033563 0.162562
-43.427758 75.385873 0.112899
-82.172079 28.578829 0.141410
83.345923 24.949091 0.153488
81.403992 30.698374 0.101594
30.140772 81.612094 0.058977
86.333956 10.744678 0.152129
-84.031673 22.531708 0.073317
-9.853066 86.440252 0.055351
14.499550 85.783233 0.081084
1.911280 86.979003 0.069454
-84.873075 19.119654 0.134684
22.530683 84.031948 0.172961
54.571665 67.756427 0.137932
-50.558178 70.801629 0.165837
-50.940514 70.527045 0.143008
-85.747662 14.708448 0.145748
83.235928 25.313639 0.138718
17.908990 85.136761 0.132865
66.548824 56.037970 0.082474
81.670839 29.981228 0.099036
-40.491882 77.002646 0.060052
-86.949454 2.965207 0.097360
54.158576 68.087067 0.084531
2.863248 86.952871 0.144951
-36.232282 79.096282 0.088159
-39.897234 77.312423 0.088742
-5.839376 86.803811 0.104867
74.964323 44.151448 0.168790
18.125392 85.090952 0.141105
-78.238216 38.049725 0.056793
-45.228013 74.319761 0.135794
-76.915055 40.658016 0.067618
-55.949575 66.623157 0.117715
-86.564718 8.691923 0.045366
-56.241749 66.376695 0.062762
40.329068 77.088043 0.101921
-71.308339 49.840955 0.131244
-16.575231 85.406450 0.108200
-59.799110 63.190714 0.139026
-72.739473 47.728074 0.103110
-32.541845 80.684747 0.137759
-86.441212 9.844637 0.165080
-14.569620 85.771360 0.138912
18.473569 85.016041 0.083780
-40.379956 77.061399 0.173765
59.487983 63.483698 0.044435
-51.437569 70.165351 0.044287
-40.700753 76.892449 0.105715
-55.430273 67.055834 0.061744
66.615398 55.958813 0.100398
79.329146 35.719555 0.076036
